City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Paragominas,BR,2022-07-21 15:15:06,-2.9667,-47.4833,87.96,42,51,5.79
160,Cayenne,GF,2022-07-21 15:14:06,4.9333,-52.3333,87.84,66,100,2.3
161,Touros,BR,2022-07-21 15:18:16,-5.1989,-35.4608,82.99,62,72,13.87
162,Sur,OM,2022-07-21 15:18:16,22.5667,59.5289,89.42,66,100,7.29
163,Sungaipenuh,ID,2022-07-21 15:18:17,-2.0833,101.3833,64.81,98,98,2.3
164,Chara,RU,2022-07-21 15:18:17,56.9064,118.2631,63.45,83,74,4.0
165,Dondo,MZ,2022-07-21 15:18:18,-19.6094,34.7431,72.91,71,39,8.3
166,Marzuq,YE,2022-07-21 15:18:18,14.4,46.4667,82.78,52,7,11.25
167,Jieshi,CN,2022-07-21 15:18:19,22.8134,115.8257,83.55,80,0,4.99
168,Vila Velha,BR,2022-07-21 15:18:19,-20.3297,-40.2925,78.75,78,75,12.66
169,Sioux Lookout,CA,2022-07-21 15:18:20,50.1001,-91.917,69.87,64,20,9.22
170,Rochegda,RU,2022-07-21 15:18:20,62.8,43.25,73.71,61,97,5.06
171,Nantucket,US,2022-07-21 15:16:56,41.2835,-70.0995,78.94,95,100,12.66
172,Marsa Matruh,EG,2022-07-21 15:18:21,31.3525,27.2453,80.83,59,0,13.82
173,Campoverde,PE,2022-07-21 15:17:49,-8.4753,-74.8058,83.89,60,54,1.03
174,Olavarria,AR,2022-07-21 15:18:21,-36.8927,-60.3225,54.01,42,35,10.2
175,Hirara,JP,2022-07-21 15:18:22,24.8,125.2833,85.17,77,2,11.61
176,Pita,GN,2022-07-21 15:18:22,10.8333,-12.5833,77.76,90,96,4.81
177,Sungairaya,ID,2022-07-21 15:18:23,0.7,108.9,79.07,86,62,5.23
178,Ulaanbaatar,MN,2022-07-21 15:18:23,47.9077,106.8832,60.93,88,75,2.24
179,Muravlenko,RU,2022-07-21 15:18:24,63.7898,74.523,51.57,70,77,12.97
180,Bato,PH,2022-07-21 15:18:24,13.3528,123.3677,78.51,89,29,3.33
181,East London,ZA,2022-07-21 15:18:25,-33.0153,27.9116,59.94,77,0,8.05
182,Kandrian,PG,2022-07-21 15:18:25,-6.2167,149.55,76.41,88,15,2.84
183,Henties Bay,NA,2022-07-21 15:18:26,-22.116,14.2845,62.15,67,1,8.66
184,Thompson,CA,2022-07-21 15:13:39,55.7435,-97.8558,60.8,73,90,8.41
185,Narsaq,GL,2022-07-21 15:15:25,60.9167,-46.05,64.62,66,7,4.41
186,Flinders,AU,2022-07-21 15:18:27,-34.5833,150.8552,59.38,70,100,5.99
187,Arraial Do Cabo,BR,2022-07-21 15:19:27,-22.9661,-42.0278,76.96,65,20,10.36
188,Kokoda,PG,2022-07-21 15:19:28,-8.8785,147.7407,73.54,94,79,0.63
189,Belozerskoye,RU,2022-07-21 15:19:28,55.8214,65.5842,62.33,88,13,12.62
190,Ankpa,NG,2022-07-21 15:19:28,7.3706,7.6253,74.8,87,96,7.11
191,San Lorenzo,PY,2022-07-21 15:19:29,-25.3333,-57.5333,81.54,47,0,11.5
192,Bathsheba,BB,2022-07-21 15:19:29,13.2167,-59.5167,88.41,83,75,27.63
193,Ballina,AU,2022-07-21 15:19:30,-28.8667,153.5667,59.02,99,100,21.34
194,Karratha,AU,2022-07-21 15:19:30,-20.7377,116.8463,71.83,80,0,7.38
195,Bowen,AU,2022-07-21 15:19:31,-20.0167,148.2333,64.31,89,90,9.93
196,Nikolskoye,RU,2022-07-21 15:19:32,59.7035,30.7861,81.88,45,0,6.49
197,Hue,VN,2022-07-21 15:19:32,16.4667,107.6,78.91,94,75,3.44
198,Msanga,TZ,2022-07-21 15:19:33,-6.05,36.0333,72.63,46,70,9.28
199,Aksarka,RU,2022-07-21 15:19:33,66.5606,67.7975,56.53,48,10,13.71
200,Olafsvik,IS,2022-07-21 15:19:33,64.8945,-23.7142,52.02,79,96,2.59
201,Azuaga,ES,2022-07-21 15:19:34,38.2667,-5.6833,99.97,17,0,6.42
202,Tuatapere,NZ,2022-07-21 15:16:45,-46.1333,167.6833,43.83,88,98,2.95
203,Tautira,PF,2022-07-21 15:19:34,-17.7333,-149.15,75.02,78,10,10.31
204,El Jicaro,GT,2022-07-21 15:19:35,14.9167,-89.9,83.73,67,94,0.89
205,Naze,JP,2022-07-21 15:19:36,28.3667,129.4833,81.52,88,82,13.69
206,Kokstad,ZA,2022-07-21 15:16:57,-30.5472,29.4241,55.67,66,78,5.84
207,Port Lincoln,AU,2022-07-21 15:18:11,-34.7333,135.8667,54.66,72,100,13.76
208,Khatanga,RU,2022-07-21 15:19:36,71.9667,102.5,53.76,65,100,6.58
209,Baragua,CU,2022-07-21 15:19:37,21.6967,-78.6328,87.13,60,4,9.26
210,Tengushevo,RU,2022-07-21 15:19:37,54.7686,42.7189,58.73,95,100,15.19
211,Lompoc,US,2022-07-21 15:17:08,34.6391,-120.4579,54.01,100,100,3.44
212,Dickson,US,2022-07-21 15:16:38,36.077,-87.3878,89.22,58,0,5.75
213,Kusti,SD,2022-07-21 15:19:38,13.1629,32.6635,86.85,47,91,8.81
214,Pacific Grove,US,2022-07-21 15:19:39,36.6177,-121.9166,57.42,96,100,7.0
215,Lieksa,FI,2022-07-21 15:19:39,63.3167,30.0167,75.09,51,49,2.91
216,Chokurdakh,RU,2022-07-21 15:19:40,70.6333,147.9167,37.87,54,100,8.48
217,Namatanai,PG,2022-07-21 15:19:40,-3.6667,152.4333,79.14,80,55,6.15
218,Bonthe,SL,2022-07-21 15:19:41,7.5264,-12.505,77.67,78,100,11.45
219,Ponta Delgada,PT,2022-07-21 15:19:41,37.7333,-25.6667,72.32,83,75,8.05
220,Ancud,CL,2022-07-21 15:18:39,-41.8697,-73.8203,41.23,75,100,12.68
221,Vila Franca Do Campo,PT,2022-07-21 15:19:42,37.7167,-25.4333,72.01,70,73,3.4
222,Santa Maria,BR,2022-07-21 15:19:22,-29.6842,-53.8069,74.41,72,100,9.69
223,Abonnema,NG,2022-07-21 15:19:42,4.7084,6.7931,80.65,71,99,11.39
